Name,Governance Type,Governing Body,Governing Body Members,Role,Annual Compensation,Elected or Appointed,Years in Office
COVINA IRRIGATING COMPANY,Mutual Water Company,Board of Directors,Geoffrey Cobbett,CFO,"$42,750",No Data,No Data
COVINA IRRIGATING COMPANY,Mutual Water Company,Board of Directors,Henry Morgan,Secretary,"$31,500",No Data,No Data
COVINA IRRIGATING COMPANY,Mutual Water Company,Board of Directors,Kim Raney,Director,"$31,500",No Data,No Data
"COVINA-CITY, WATER DEPT",City/ Municipal,City Council,Victor Linares,Mayor,"$4,800",No Data,No Data
"COVINA-CITY, WATER DEPT",City/ Municipal,City Council,Jorge Marquez,Mayor Pro Tem,"$4,800",No Data,No Data
"COVINA-CITY, WATER DEPT",City/ Municipal,City Council,John King,Council Member,"$4,800",No Data,No Data
"COVINA-CITY, WATER DEPT",City/ Municipal,City Council,"Walter Allen, III",Council Member,"$4,800",No Data,No Data
"COVINA-CITY, WATER DEPT",City/ Municipal,City Council,Patricia Cortez,Council Member,"$4,800",No Data,No Data
CRESCENTA VALLEY WATER DISTRICT,Special District,Board of Directors,Ken Putnam,Director,"$2,695",No Data,10
CRESCENTA VALLEY WATER DISTRICT,Special District,Board of Directors,Kerry Erickson,President,"$2,695",Elected,11
CRESCENTA VALLEY WATER DISTRICT,Special District,Board of Directors,James Bodnar,Vice President,"$2,695",No Data,11
CRESCENTA VALLEY WATER DISTRICT,Special District,Board of Directors,Judy Tejeda,Director,"$2,695",No Data,No Data
CRESCENTA VALLEY WATER DISTRICT,Special District,Board of Directors,Sharon Raghavachary,Director,"$2,695",No Data,No Data
DEL RIO MUTUAL,Mutual Water Company,Officer,Manuel Luna,President,$0,No Data,No Data
"DOWNEY - CITY, WATER DEPT.",City/ Municipal,City Council,Blanca Pacheco,Mayor,$0,Elected,4
"DOWNEY - CITY, WATER DEPT.",City/ Municipal,City Council,Claudia M. Frometa,Mayor Pro Tem,$0,Elected,4
"DOWNEY - CITY, WATER DEPT.",City/ Municipal,City Council,Rick Roderiguez,Council Member,$0,Elected,4
"DOWNEY - CITY, WATER DEPT.",City/ Municipal,City Council,Sean Ashton,Council Member,$0,No Data,6
"DOWNEY - CITY, WATER DEPT.",City/ Municipal,City Council,Alex Saab ,Council Member,$0,Elected,8
EAST PASADENA WATER CO,IOU,N/A,N/A,N/A,No Data,No Data,No Data
EL DORADO MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Murry Sprunger,President,"$1,300",No Data,No Data
EL DORADO MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Robert Estrada,Vice President,$975,No Data,No Data
EL DORADO MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,CP McGraw,Director,$975,No Data,No Data
EL DORADO MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Linda Arquieta-Herrera,Director,$675,No Data,No Data
EL DORADO MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Kyle Yoder,Director,$750,No Data,No Data
"EL MONTE-CITY, WATER DEPT.",City/ Municipal,City Council,Maria Morales,Mayor Pro Tem,"$7,980",No Data,2
"EL MONTE-CITY, WATER DEPT.",City/ Municipal,City Council,Jessica Ancona,Councilmember,"$7,980",No Data,2
"EL MONTE-CITY, WATER DEPT.",City/ Municipal,City Council,Victoria Martinez Muela,Councilmember,"$7,980",No Data,5
"EL MONTE-CITY, WATER DEPT.",City/ Municipal,City Council,Jerry Velasco,Councilmember,"$7,980",No Data,5
"EL MONTE-CITY, WATER DEPT.",City/ Municipal,City Council,Andre Quintero,Mayor,"$7,980",No Data,11
"EL SEGUNDO-CITY, WATER DEPT.",City/ Municipal,City Council,Lance Giroux,Councilmember,"$10,800",No Data,0
"EL SEGUNDO-CITY, WATER DEPT.",City/ Municipal,City Council,Chris Pimentel,Mayor Pro Tem,"$10,800",No Data,2
"EL SEGUNDO-CITY, WATER DEPT.",City/ Municipal,City Council,Scot Nicol,Councilmember,"$10,800",No Data,2
"EL SEGUNDO-CITY, WATER DEPT.",City/ Municipal,City Council,Drew Boyles,Mayor,"$10,800",No Data,4
"EL SEGUNDO-CITY, WATER DEPT.",City/ Municipal,City Council,Carol Pirsztuk,Councilmember,"$10,800",No Data,No Data
EVERGREEN MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Dan Vellinga,Vice President,$0,No Data,No Data
EVERGREEN MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Kim Ruppert,Treasurer,$0,No Data,No Data
EVERGREEN MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Erich Grosse,President,$0,No Data,No Data
EVERGREEN MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,George Demirjian,Secretary,$0,No Data,No Data
EVERGREEN MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Robert Palmer,Director,$0,No Data,No Data
EVERGREEN MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Don Anderson,Director,$0,No Data,No Data
FOOTHILL MUNICIPAL WATER DIST,Special District,Board of Directors,Frank Colcord,Director,$0,No Data,2
FOOTHILL MUNICIPAL WATER DIST,Special District,Board of Directors,Garry Bryant,Director,$0,No Data,9
FOOTHILL MUNICIPAL WATER DIST,Special District,Board of Directors,Mel Matthews,Vice President,$0,No Data,12
FOOTHILL MUNICIPAL WATER DIST,Special District,Board of Directors,Richard Atwater,President,$0,No Data,14
FOOTHILL MUNICIPAL WATER DIST,Special District,Board of Directors,Ladrena Dansby,Director,$0,No Data,15
"GLENDALE-CITY, WATER DEPT",City/ Municipal,City Council,Daniel Brotman,Councilmember,"$17,160",No Data,0
"GLENDALE-CITY, WATER DEPT",City/ Municipal,City Council,Vrej Agajanian,Mayor,"$17,160",No Data,3
"GLENDALE-CITY, WATER DEPT",City/ Municipal,City Council,Paula Levine,Councilmember,"$17,160",No Data,6
"GLENDALE-CITY, WATER DEPT",City/ Municipal,City Council,Ara Najarian,Councilmember,"$17,160",No Data,15
"GLENDALE-CITY, WATER DEPT",City/ Municipal,City Council,Ardy Kassakhian,Councilmember,"$17,160",No Data,No Data
"GLENDORA-CITY, WATER DEPT",City/ Municipal,City Council,David Fredendall,Council Member,"$10,800",No Data,0
"GLENDORA-CITY, WATER DEPT",City/ Municipal,City Council,Gary Boyer,Council Member,"$10,800",No Data,0
"GLENDORA-CITY, WATER DEPT",City/ Municipal,City Council,Mendell Thompson,Council Member,"$10,800",No Data,0
"GLENDORA-CITY, WATER DEPT",City/ Municipal,City Council,Michael Allawos,Mayor,"$10,800",No Data,3
"GLENDORA-CITY, WATER DEPT",City/ Municipal,City Council,Karen Davis,Mayor Pro-Tem,"$10,800",No Data,15
GOLDEN STATE WATER CO  San Dimas,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO  San Dimas,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO  San Dimas,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO  San Dimas,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO  San Dimas,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO  San Dimas,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO  San Dimas,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO  San Dimas,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO  San Dimas,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GOLDEN STATE WATER CO Artesia,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO Artesia,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO Artesia,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO Artesia,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO Artesia,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO Artesia,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO Artesia,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO Artesia,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO Artesia,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
"GOLDEN STATE WATER CO Bell, Bell Gardens",IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
"GOLDEN STATE WATER CO Bell, Bell Gardens",IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
"GOLDEN STATE WATER CO Bell, Bell Gardens",IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
"GOLDEN STATE WATER CO Bell, Bell Gardens",IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
"GOLDEN STATE WATER CO Bell, Bell Gardens",IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
"GOLDEN STATE WATER CO Bell, Bell Gardens",IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
"GOLDEN STATE WATER CO Bell, Bell Gardens",IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
"GOLDEN STATE WATER CO Bell, Bell Gardens",IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
"GOLDEN STATE WATER CO Bell, Bell Gardens",IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GOLDEN STATE WATER CO Claremont,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO Claremont,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO Claremont,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO Claremont,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO Claremont,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO Claremont,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO Claremont,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO Claremont,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO Claremont,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GOLDEN STATE WATER CO Culver City,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO Culver City,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO Culver City,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO Culver City,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO Culver City,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO Culver City,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO Culver City,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO Culver City,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO Culver City,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GOLDEN STATE WATER CO Florence/Graham,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO Florence/Graham,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO Florence/Graham,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO Florence/Graham,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO Florence/Graham,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO Florence/Graham,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO Florence/Graham,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO Florence/Graham,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO Florence/Graham,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GOLDEN STATE WATER CO Hollydale,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO Hollydale,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO Hollydale,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO Hollydale,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO Hollydale,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO Hollydale,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO Hollydale,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO Hollydale,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO Hollydale,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GOLDEN STATE WATER CO Norwalk,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO Norwalk,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO Norwalk,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO Norwalk,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO Norwalk,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO Norwalk,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO Norwalk,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO Norwalk,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO Norwalk,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GOLDEN STATE WATER CO South Arcadia,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO South Arcadia,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO South Arcadia,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO South Arcadia,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO South Arcadia,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO South Arcadia,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO South Arcadia,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO South Arcadia,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO South Arcadia,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GOLDEN STATE WATER CO South San Gabriel,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO South San Gabriel,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO South San Gabriel,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO South San Gabriel,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO South San Gabriel,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO South San Gabriel,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO South San Gabriel,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO South San Gabriel,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO South San Gabriel,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GOLDEN STATE WATER CO Southwest,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO Southwest,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO Southwest,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO Southwest,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO Southwest,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO Southwest,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO Southwest,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO Southwest,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO Southwest,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GOLDEN STATE WATER CO Willowbrook,IOU,Board of Directors,C. James Levin,Director,No Data,No Data,0
GOLDEN STATE WATER CO Willowbrook,IOU,Board of Directors,Mary Ann Hopkins,Director,No Data,No Data,1
GOLDEN STATE WATER CO Willowbrook,IOU,Board of Directors,John R. Fielder,Director,No Data,No Data,7
GOLDEN STATE WATER CO Willowbrook,IOU,Board of Directors,Sarah J. Anderson,Director,No Data,No Data,8
GOLDEN STATE WATER CO Willowbrook,IOU,Board of Directors,Janice F. Wilkins,Director,No Data,No Data,9
GOLDEN STATE WATER CO Willowbrook,IOU,Board of Directors,Robert J. Sprowls,"Director, President and Chief Executive Officer",No Data,No Data,11
GOLDEN STATE WATER CO Willowbrook,IOU,Board of Directors,Diane M. Bonta,Director,No Data,No Data,13
GOLDEN STATE WATER CO Willowbrook,IOU,Board of Directors,Anne M. Holloway,Chairman of the Board,No Data,No Data,22
GOLDEN STATE WATER CO Willowbrook,IOU,Board of Directors,James L. Anderson,Director,No Data,No Data,23
GREEN VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Dave Phillips,N/A,$530,No Data,No Data
GREEN VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Jeff McCracken,N/A,$530,No Data,No Data
GREEN VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Bob Garth,N/A,$530,No Data,No Data
GREEN VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Joe Randles,N/A,$530,No Data,No Data
GREEN VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Chuck Lloyd,N/A,$530,No Data,No Data
HEMLOCK MUTUAL WATER COMPANY,Mutual Water Company,Officers,Blanca Becerra,President,No Data,No Data,No Data
HEMLOCK MUTUAL WATER COMPANY,Mutual Water Company,Officers,Omar Ramirez,Vice President,No Data,No Data,No Data
HEMLOCK MUTUAL WATER COMPANY,Mutual Water Company,Officers,Fernando Avila,Officer,No Data,No Data,No Data
HEMLOCK MUTUAL WATER COMPANY,Mutual Water Company,Officers,Jose Becerra,Officer,No Data,No Data,No Data
HEMLOCK MUTUAL WATER COMPANY,Mutual Water Company,Officers,Roni Santos,Officer,No Data,No Data,No Data
"Huntington Park, City of",City/ Municipal,City Council,"Eduardo ""Eddie"" Martinez",Council Member,"$14,744",No Data,0
"Huntington Park, City of",City/ Municipal,City Council,"Manuel ""Manny"" Avila",Mayor,"$14,744",No Data,3
"Huntington Park, City of",City/ Municipal,City Council,Graciela Ortiz,Vice Mayor,"$14,744",No Data,5
"Huntington Park, City of",City/ Municipal,City Council,Marilyn Sanabria,Council Member,"$14,744",No Data,5
"Huntington Park, City of",City/ Municipal,City Council,Karina Macias,Council Member,"$14,744",No Data,7
"INGLEWOOD- CITY, WATER DEPT.",City/ Municipal,City Council,George Dotson,Councilmember,"$60,660",No Data,7
"INGLEWOOD- CITY, WATER DEPT.",City/ Municipal,City Council,James Butts,Mayor,"$111,303",No Data,9
"INGLEWOOD- CITY, WATER DEPT.",City/ Municipal,City Council,"Eloy Morales, Jr. ",Councilmember,"$60,660",No Data,17
"INGLEWOOD- CITY, WATER DEPT.",City/ Municipal,City Council,Ralph Franklin,Councilmember,"$60,660",No Data,17
"INGLEWOOD- CITY, WATER DEPT.",City/ Municipal,City Council,Alex Padilla,Councilmember,"$60,660",No Data,No Data
KINNELOA IRRIGATION DISTRICT,Irrigation District,Board of Directors,Gerrie Kilburn,Board Member,"$1,300",No Data,No Data
KINNELOA IRRIGATION DISTRICT,Irrigation District,Board of Directors,Frank Griffith,Board Member,"$1,300",No Data,No Data
KINNELOA IRRIGATION DISTRICT,Irrigation District,Board of Directors,Gordon Johnson,Board Member,"$1,300",No Data,No Data
KINNELOA IRRIGATION DISTRICT,Irrigation District,Board of Directors,Timothy Eldridge,Board Member,"$1,300",No Data,No Data
KINNELOA IRRIGATION DISTRICT,Irrigation District,Board of Directors,Dave Moritz,Board Member,"$1,300",No Data,No Data
LA CANADA IRRIGATION DISTRICT,Irrigation District,Board of Directors,"Richard Myers, Jr.",Director,"$1,200",No Data,No Data
LA CANADA IRRIGATION DISTRICT,Irrigation District,Board of Directors,Richard SooHoo,Director,"$1,200",No Data,No Data
LA CANADA IRRIGATION DISTRICT,Irrigation District,Board of Directors,Marv Collins,Director,"$1,200",No Data,No Data
LA CANADA IRRIGATION DISTRICT,Irrigation District,Board of Directors,Sheree Butts,Director,"$1,200",No Data,No Data
LA CANADA IRRIGATION DISTRICT,Irrigation District,Board of Directors,Anthony Angelica,Director,"$1,200",No Data,No Data
LA COUNTY WATERWORKS,County,LA County Board of Supervisors,Janice Hahn,Supervisor,"$214,601",Elected,4
LA COUNTY WATERWORKS,County,LA County Board of Supervisors,Kathryn Barger,Supervisor,"$214,601",Elected,4
LA COUNTY WATERWORKS,County,LA County Board of Supervisors,Hilda Solis,Supervisor,"$214,601",Elected,6
LA COUNTY WATERWORKS,County,LA County Board of Supervisors,Sheila Kuehl,Supervisor,"$214,601",Elected,6
LA COUNTY WATERWORKS,County,LA County Board of Supervisors,Mark Ridley-Thomas,Supervisor,"$214,601",Elected,12
LA HABRA HEIGHTS COUNTY WATER DISTRICT,Special District,Board of Directors,James Crabb,Board Member,"$1,140",No Data,1
LA HABRA HEIGHTS COUNTY WATER DISTRICT,Special District,Board of Directors,Karen Baroldi,Board Member,"$1,140",No Data,4
LA HABRA HEIGHTS COUNTY WATER DISTRICT,Special District,Board of Directors,Pam McVicar,Vice President,"$1,140",No Data,11
LA HABRA HEIGHTS COUNTY WATER DISTRICT,Special District,Board of Directors,Mark Perumean,Board Member,"$1,140",No Data,11
LA HABRA HEIGHTS COUNTY WATER DISTRICT,Special District,Board of Directors,Brad Cooke,President,"$1,140",No Data,23
LA PUENTE VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Cesar Barajas,Director,"$6,924",No Data,2
LA PUENTE VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,David Hastings,Vice President,"$6,924",No Data,10
LA PUENTE VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Henry Hernandez,President,"$6,924",No Data,11
LA PUENTE VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,William Rojas,Director,"$6,924",No Data,11
LA PUENTE VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,John Escalera,Director,"$6,924",No Data,19
"LA VERNE, CITY WATER DIVISION",City/ Municipal,City Council,Rick Crosby,Councilmember,"$6,228",No Data,0
"LA VERNE, CITY WATER DIVISION",City/ Municipal,City Council,Wendy Lau,Councilmember,"$6,228",No Data,0
"LA VERNE, CITY WATER DIVISION",City/ Municipal,City Council,Tim Hepburn,Mayor,"$6,228",No Data,No Data
"LA VERNE, CITY WATER DIVISION",City/ Municipal,City Council,Robin Carder,Mayor Pro Tem,"$6,228",No Data,No Data
"LA VERNE, CITY WATER DIVISION",City/ Municipal,City Council,Muir Davis,Councilmember,"$6,228",No Data,No Data
LAKE ELIZABETH MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Ray Chatterson,Secretary,$0,No Data,No Data
LAKE ELIZABETH MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Steve Nemback,Treasurer,$0,No Data,No Data
LAKE ELIZABETH MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Jeff Olesh,Director,$0,No Data,No Data
LAKE ELIZABETH MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Steve Brown,Vice President,$0,No Data,No Data
LAKE ELIZABETH MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Tim Zongker,President,$0,No Data,No Data
"LAKEWOOD - CITY, WATER DEPT",City/ Municipal,City Council,"Ariel ""Ari"" Pe",Council Member,"$19,788",Appointed,0
"LAKEWOOD - CITY, WATER DEPT",City/ Municipal,City Council,Jeff Wood,Vice Mayor,"$19,788",Elected,9
"LAKEWOOD - CITY, WATER DEPT",City/ Municipal,City Council,Steve Croft,Council Member,"$19,788",Elected,15
"LAKEWOOD - CITY, WATER DEPT",City/ Municipal,City Council,Diane DuBois,Council Member,"$19,788",Elected,15
"LAKEWOOD - CITY, WATER DEPT",City/ Municipal,City Council,Todd Rogers,Mayor,"$19,788",Elected,19
LAND PROJECTS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Bruce Baker,Treasurer,$600,No Data,No Data
LAND PROJECTS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Phil Sheppard,Director,$600,No Data,No Data
LAND PROJECTS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Gary Carlston,Vice President,$600,No Data,No Data
LAND PROJECTS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Debbie Boyd,Secretary,$600,No Data,No Data
LAND PROJECTS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Costy Von Massenbach,President,$600,No Data,No Data
LANDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Frank Purcell,President,$0,No Data,No Data
LANDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Gustavo Diaz,Member,$0,No Data,No Data
LANDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Johnny Rogers,Secretary/ Treasurer,$0,No Data,No Data
LANDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Nickie Purcell,Member,$0,No Data,No Data
LAS FLORES WATER COMPANY,IOU,Board of Directors,John V Bednarski,President,No Data,No Data,No Data
LAS FLORES WATER COMPANY,IOU,Board of Directors,Margaret de Beixedon,Vice President,No Data,No Data,No Data
LAS FLORES WATER COMPANY,IOU,Board of Directors,Mary Ann Spieth,Treasurer,No Data,No Data,No Data
LAS FLORES WATER COMPANY,IOU,Board of Directors,Garry E. Bryant,Secretary,No Data,No Data,No Data
LAS FLORES WATER COMPANY,IOU,Board of Directors,David A. Mosher,Director,No Data,No Data,No Data
LAS VIRGENES MUNICIPAL WATER DISTRICT,Special District,Board of Directors,Lynda Lo-Hill,Treasurer,No Data,No Data,2
